Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,118858,121593,129093,130957,..,142880,140529,132347,134145,..,..,..,..,..,..
Afghanistan,AFG,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,..,..,82926,84619,87956,92139,..,..,..,..,..,..
Afghanistan,AFG,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,31.44885,..,..,..,..,..,..,43.01972,..,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,0,0,0,0,..,0,0,0,..,..,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,342.82052,382.00443,307.90921,426.22167,447.41375,367.46377,354.52316,362.16755,..,..,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,147.27517,164.10852,132.27733,183.10417,192.20826,157.86188,178.75878,182.38186,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,2044157,2208963,2415884,2538420,2602734,2651459,2725421,2899453,3063889,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,5279326,5291624,5767543,5986268,6217756,6199329,6265011,6350404,6544906,..,..,..,..,..,..
Albania,ALB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,11409,10854,10605,10402,10343,10119,9867,9743,9723,9778,..,..,..,..,..
Albania,ALB,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,24082,23298,23452,23471,23314,23329,24082,24165,24008,23937,..,..,..,..,..
Albania,ALB,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,4144,4047,4349,4498,4462,4496,4667,4644,4740,4820,..,..,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,96.8453,97.24697,..,..,..,..,..,98.14115,..,..,..,..,..,..
Albania,ALB,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,222.22898,..,270.89171,..,..,..,..,..,..,..
Albania,ALB,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,89.67605,..,84.48703,119.22367,101.39454,..,..,..,..,..,..,..
Albania,ALB,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,74914,76389,80488,81865,81448,82494,82623,81194,81026,78942,..,..,..,..,..
Albania,ALB,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,355871,355158,349269,346365,333291,315079,294315,280378,268872,256072,..,..,..,..,..
Albania,ALB,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,224781,215660,206617,198897,195720,188371,179564,174836,170861,167104,..,..,..,..,..
Algeria,DZA,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,141994,144537,149036,155144,159115,164684,169931,176809,182153,222838,..,..,..,..,..
Algeria,DZA,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,19383,19323,..,..,..,..,..,..,..,18397,..,..,..,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,81.40784,..,..,..,..,..,..
Algeria,DZA,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,500165,490035,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,4616226,4572513,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,3312440,3363236,3451588,3608812,3765307,3925429,4118362,4283207,4429994,4516571,..,..,..,..,..
American Samoa,ASM,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,453,433,431,436,427,419,422,406,412,411,..,..,..,..,..
Andorra,AND,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,543,499,544,557,546,563,566,..,..,..,..,..
Andorra,AND,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,187,179,178,172,179,181,171,163,166,169,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,15.00276,15.67712,..,14.5694,13.89234,12.06139,11.91705,11.4973,12.41961,11.75549,..,..,..,..,..
Andorra,AND,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,29.67335,31.23054,..,25.72771,22.41963,20.20312,20.16358,21.28038,22.38212,21.42019,..,..,..,..,..
Andorra,AND,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,21.49835,23.15545,..,28.21173,20.62573,22.80015,22.47632,23.90225,26.44299,25.21855,..,..,..,..,..
Andorra,AND,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2411,2380,2435,2423,2453,2427,2340,2263,2204,2123,..,..,..,..,..
Andorra,AND,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,4059,4159,4208,4239,4319,4395,4425,4492,4513,4567,..,..,..,..,..
Andorra,AND,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,4367,4263,4130,4068,4065,4164,4248,4263,4325,4322,..,..,..,..,..
Angola,AGO,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,93734,118158,..,..,..,112352,95827,..,..,..,..,..,..,..,..
Angola,AGO,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,32279,..,..,..,72859,75997,..,..,..,..,..,..,..,..
Angola,AGO,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,18032,18894,..,..,..,..,12440,..,..,..,..,..,..,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,66.03011,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,668358,595938,..,..,..,..,784381,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,850334,884982,..,..,..,..,2034150,..,..,..,..,..,..,..,..
Angola,AGO,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,4273006,5026803,..,..,..,5620915,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,112,111,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,124,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,44,31,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Anguilla,AIA,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,747,748,755,..,714,703,..,825,816,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,694,706,723,..,674,701,..,813,845,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,267,286,124,..,..,360,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,98.95,..,..,..,98.95,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,10.60458,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2512,2438,2596,..,2182,..,..,2075,2050,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,8436,8449,8383,..,8077,8048,..,7839,7856,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,11254,10855,10453,..,10172,10077,..,9946,10123,..,..,..,..,..,..
Arab World,ARB,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,1986583.295,2068075.11,2231272.235,2266854.62,2315002.987,2313492.499,2302263.162,2299196.088,2333230.682,2401307.199,..,..,..,..,..
Arab World,ARB,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,2080794.532,2167015.011,2206901.813,2187146.522,2152338.782,2184856.971,2188675.673,2198224.719,2243967.935,2217199.833,..,..,..,..,..
Arab World,ARB,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,207256.6534,222923.0828,235666.5188,239806.3529,263346.5801,265831.3444,269036.2698,275272.9899,272065.1124,277373.5975,..,..,..,..,..
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,69.24863,71.06061,74.43569,74.04358,75.71389,73.49939,74.8408,75.76682,72.86909,73.11425,..,..,..,..,..
Arab World,ARB,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,4197441.113,4279593.73,4482142.327,4616803.338,5156677.02,5350298.129,5457124.528,5641577.453,5752573.742,5984438.134,..,..,..,..,..
Arab World,ARB,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,30198068.55,31339577.77,31811284.48,31251053.27,30941941.59,31393656.48,31651475.84,32151230.7,32878547.78,33673382.1,..,..,..,..,..
Arab World,ARB,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,41836868.07,42111397.04,43447614.05,43561851.85,44953898.81,45545022.82,46378905.57,47415468.42,48540490.7,49874711.32,..,..,..,..,..
Argentina,ARG,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,98.95497,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,..,99.00387,..,..,..,..,..,..
Argentina,ARG,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,1581.47552,2279.4582,2283.05562,2462.64623,2273.8937,2779.26976,2665.81936,3084.25842,..,..,..,..,..,..,..
Argentina,ARG,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,7029.0937,8966.87823,9281.22164,9013.13548,8482.54125,10320.21764,9298.23808,10389.34103,..,..,..,..,..,..,..
Argentina,ARG,"Government expenditure on secondary education, US$ (millions)",UIS.X.US.2T3.FSGOV,8431.51864,11351.94719,11802.86944,12462.93002,11704.21136,14199.18716,12656.56425,13880.52459,..,..,..,..,..,..,..
Argentina,ARG,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1484207,1487105,1527075,1566810,1597990,1638369,1664915,1694680,..,..,..,..,..,..,..
Argentina,ARG,"Enrolment in secondary education, both sexes (number)",SE.SEC.ENRL,4213136,4279426,4346391,4406046,4450741,4501734,4583002,4612663,..,..,..,..,..,..,..
Argentina,ARG,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,4947105,4911776,4871157,4791544,4780105,4784446,4775782,4753843,..,..,..,..,..,..,..
Armenia,ARM,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,..,..,..,..,..,..,..,..,9950,7215,..,..,..,..,..
Armenia,ARM,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,..,..,..,..,..,..,..,..,29311,25093,..,..,..,..,..
Armenia,ARM,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,5476,6152,6761,6925,6797,7442,7602,7793,7848,8176,..,..,..,..,..
Armenia,ARM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,99.74441,..,..,..,..,..,99.73607,..,..,..,..,..,..,..
Armenia,ARM,"Government expenditure on pre-primary education, US$ (millions)",UIS.X.US.02.FSGOV,..,28.70808,29.83197,32.28568,..,34.8268,34.65438,37.44478,..,..,..,..,..,..,..
Armenia,ARM,"Government expenditure on primary education, US$ (millions)",UIS.X.US.1.FSGOV,..,..,54.9913,59.27427,..,57.32614,60.11148,60.46789,..,..,..,..,..,..,..
